City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,East London,ZA,2021-04-07 19:34:33,-33.0153,27.9116,66.2,82,75,4.61
68,Kavieng,PG,2021-04-07 19:34:48,-2.5744,150.7967,80.67,81,98,15.23
69,Nemuro,JP,2021-04-07 19:35:24,43.3236,145.575,31.53,85,13,9.17
70,Vila Franca Do Campo,PT,2021-04-07 19:35:25,37.7167,-25.4333,59.0,94,75,17.27
71,Carnarvon,AU,2021-04-07 19:34:52,-24.8667,113.6333,75.2,73,69,19.57
72,Jian,CN,2021-04-07 19:35:25,27.1172,114.9793,58.69,88,100,8.75
73,Puerto Ayora,EC,2021-04-07 19:34:35,-0.7393,-90.3518,82.4,74,75,9.22
74,Bambanglipuro,ID,2021-04-07 19:35:25,-7.95,110.2833,78.55,87,100,9.42
75,Acarau,BR,2021-04-07 19:35:26,-2.8856,-40.12,81.57,77,100,15.01
76,Banda Aceh,ID,2021-04-07 19:35:26,5.5577,95.3222,79.23,81,98,7.16
77,Sitka,US,2021-04-07 19:35:26,57.0531,-135.33,35.6,80,40,12.66
78,Ust-Nera,RU,2021-04-07 19:35:27,64.5667,143.2,3.67,96,100,4.79
79,Punta Arenas,CL,2021-04-07 19:30:41,-53.15,-70.9167,57.2,51,0,18.41
80,Noumea,NC,2021-04-07 19:35:27,-22.2763,166.4572,78.01,83,90,4.61
81,Hamilton,US,2021-04-07 19:35:27,39.1834,-84.5333,82.0,38,75,12.66
82,Te Anau,NZ,2021-04-07 19:35:28,-45.4167,167.7167,44.42,90,12,0.31
83,Ponta Delgada,PT,2021-04-07 19:30:45,37.7333,-25.6667,59.0,94,75,17.27
84,Mar Del Plata,AR,2021-04-07 19:35:28,-38.0023,-57.5575,80.6,65,40,11.5
85,Kresek,ID,2021-04-07 19:35:29,-6.1314,106.3797,77.0,88,20,6.91
86,Dunedin,NZ,2021-04-07 19:35:29,-45.8742,170.5036,51.01,91,12,4.54
87,Ponta Do Sol,PT,2021-04-07 19:34:36,32.6667,-17.1,64.99,70,100,1.99
88,Port Hardy,CA,2021-04-07 19:35:29,50.6996,-127.4199,42.8,81,90,10.36
89,Lompoc,US,2021-04-07 19:35:30,34.6391,-120.4579,62.01,72,34,6.91
90,Vao,NC,2021-04-07 19:35:30,-22.6667,167.4833,76.12,68,31,14.63
91,Yuci,CN,2021-04-07 19:35:30,37.6803,112.7319,51.8,50,0,8.95
92,Hilo,US,2021-04-07 19:32:13,19.7297,-155.09,75.2,57,1,11.5
93,Sorong,ID,2021-04-07 19:35:31,-0.8833,131.25,79.59,82,99,4.29
94,Tabuk,PH,2021-04-07 19:35:31,17.4189,121.4443,70.45,85,80,3.44
95,Saskylakh,RU,2021-04-07 19:35:31,71.9167,114.0833,-3.05,99,100,4.74
96,Nanortalik,GL,2021-04-07 19:35:32,60.1432,-45.2371,36.01,84,18,3.31
97,Martapura,ID,2021-04-07 19:35:32,-3.4167,114.85,77.0,94,90,6.91
98,Union,US,2021-04-07 19:35:32,40.6334,-74.2663,71.01,24,1,6.91
99,Alofi,NU,2021-04-07 19:34:42,-19.0595,-169.9187,77.0,88,47,5.75
100,Saldanha,ZA,2021-04-07 19:35:33,-33.0117,17.9442,62.6,77,40,8.05
101,Tiksi,RU,2021-04-07 19:35:33,71.6872,128.8694,-10.3,93,100,3.58
102,Ucluelet,CA,2021-04-07 19:35:10,48.9329,-125.5528,46.0,87,90,8.05
103,Verkhnyaya Inta,RU,2021-04-07 19:35:33,65.9811,60.3094,28.38,86,87,7.16
104,Cidreira,BR,2021-04-07 19:35:34,-30.1811,-50.2056,75.06,71,0,18.63
105,Samarai,PG,2021-04-07 19:35:34,-10.6167,150.6667,80.67,78,96,7.16
106,Beian,NO,2021-04-07 19:35:34,63.6559,9.5683,30.99,93,40,5.75
107,Luderitz,NA,2021-04-07 19:35:35,-26.6481,15.1594,66.97,65,0,8.55
108,Lagos,NG,2021-04-07 19:33:02,6.5833,3.75,84.2,84,20,9.22
109,Taitung,TW,2021-04-07 19:35:35,22.7583,121.1444,67.95,81,37,6.24
110,Kodiak,US,2021-04-07 19:33:15,57.79,-152.4072,37.4,65,1,6.91
111,Port Elizabeth,ZA,2021-04-07 19:35:35,-33.918,25.5701,64.4,94,75,10.36
112,Port Blair,IN,2021-04-07 19:35:36,11.6667,92.75,80.64,72,16,2.93
113,Roma,US,2021-04-07 19:32:03,43.2128,-75.4557,70.0,30,1,5.75
114,Mahon,ES,2021-04-07 19:31:00,39.8885,4.2658,46.4,53,0,12.66
115,Cedar City,US,2021-04-07 19:32:17,37.6775,-113.0619,64.99,8,1,4.61
116,Bethel,US,2021-04-07 19:31:34,41.3712,-73.414,70.0,32,1,6.91
117,Kununurra,AU,2021-04-07 19:35:36,-15.7667,128.7333,73.4,100,74,2.19
118,Acambay,MX,2021-04-07 19:35:37,19.9558,-99.8417,74.39,15,39,13.6
119,Ostrovnoy,RU,2021-04-07 19:30:45,68.0531,39.5131,32.14,79,53,25.01
120,Airai,TL,2021-04-07 19:31:29,-8.9266,125.4092,59.14,90,50,1.41
121,Deer Lake,CA,2021-04-07 19:35:38,49.1667,-57.4316,42.8,87,90,14.97
122,Ibra,OM,2021-04-07 19:35:38,22.6906,58.5334,73.81,35,0,0.47
123,Klaksvik,FO,2021-04-07 19:35:38,62.2266,-6.589,30.2,100,100,20.71
124,Midland,US,2021-04-07 19:34:10,31.9974,-102.0779,79.0,10,1,12.66
125,Biltine,TD,2021-04-07 19:35:38,14.5333,20.9167,88.63,11,34,4.99
126,Upernavik,GL,2021-04-07 19:31:19,72.7868,-56.1549,6.33,88,12,5.44
127,Mogadishu,SO,2021-04-07 19:35:39,2.0371,45.3438,82.51,72,5,13.0
128,Kaitangata,NZ,2021-04-07 19:30:53,-46.2817,169.8464,53.01,97,93,5.99
129,Charters Towers,AU,2021-04-07 19:34:26,-20.1,146.2667,70.7,83,90,4.32
130,Yazman,PK,2021-04-07 19:35:39,29.1212,71.7446,75.92,27,0,9.69
131,Waingapu,ID,2021-04-07 19:31:52,-9.6567,120.2641,76.98,85,80,2.44
132,Port Alfred,ZA,2021-04-07 19:35:40,-33.5906,26.891,65.95,95,59,10.78
133,Bengkulu,ID,2021-04-07 19:31:31,-3.8004,102.2655,75.49,86,93,3.98
134,Kapuvar,HU,2021-04-07 19:35:40,47.5922,17.0289,32.0,80,0,2.3
135,Chapais,CA,2021-04-07 19:35:41,49.7834,-74.8492,57.2,54,1,6.91
136,Provideniya,RU,2021-04-07 19:34:37,64.3833,-173.3,-2.2,78,0,13.42
137,Ixtapa,MX,2021-04-07 19:35:41,20.7,-105.2,80.6,61,1,10.36
138,Tura,IN,2021-04-07 19:34:37,25.5198,90.2201,69.03,72,0,4.97
139,Praya,CV,2021-04-07 19:35:41,14.9215,-23.5087,77.0,53,0,20.71
140,Whitehorse,CA,2021-04-07 19:31:58,60.7161,-135.0538,15.01,40,20,9.22
141,Kaunas,LT,2021-04-07 19:35:42,54.9,23.9,35.6,75,0,10.36
142,Gazli,UZ,2021-04-07 19:35:42,40.1333,63.45,64.47,22,0,8.93
143,Saint-Philippe,RE,2021-04-07 19:34:44,-21.3585,55.7679,78.8,78,97,3.44
144,Kirakira,SB,2021-04-07 19:35:42,-10.4544,161.9205,80.19,81,91,9.15
145,Port Keats,AU,2021-04-07 19:35:43,-14.25,129.55,81.75,70,89,5.37
146,Amahai,ID,2021-04-07 19:35:43,-3.3333,128.9167,78.04,85,100,1.68
147,Booue,GA,2021-04-07 19:35:43,-0.0921,11.9385,79.57,76,45,2.53
148,Lagoa,PT,2021-04-07 19:35:43,39.05,-27.9833,59.63,90,12,21.21
149,Harbour Breton,CA,2021-04-07 19:35:44,47.4833,-55.7983,44.01,92,100,17.72
