City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
433,Inirida,CO,3.8653,-67.9239,85.55,71,91,1.36,overcast clouds
434,Viedma,AR,-40.8135,-62.9967,68.02,79,100,10.6,overcast clouds
435,Sao Filipe,CV,14.8961,-24.4956,75.94,65,0,7.9,clear sky
436,Port Macquarie,AU,-31.4333,152.9167,66.2,100,75,1.14,broken clouds
437,Nakamura,JP,32.9833,132.9333,49.71,65,61,3.65,broken clouds
438,Okha,RU,53.5739,142.9478,25.99,91,100,17.96,overcast clouds
439,Thaton,MM,16.9206,97.3714,81.28,72,0,3.42,clear sky
440,Encheng,CN,22.1839,112.3026,71.01,90,97,0.87,overcast clouds
441,Toora-Khem,RU,52.4675,96.11,35.58,89,80,8.93,broken clouds
442,Provideniya,RU,64.3833,-173.3,-1.61,96,100,11.36,overcast clouds
443,Cabra,ES,37.4725,-4.4421,80.6,28,0,5.75,clear sky
444,Sinnamary,GF,5.3833,-52.95,79.03,84,94,7.43,light rain
445,Cambridge,CA,43.3601,-80.3127,64.99,34,1,12.66,clear sky
446,Sipoo,FI,60.3775,25.2691,37.4,81,20,11.5,few clouds
447,Powell River,CA,49.8496,-124.5361,48.2,81,90,4.61,overcast clouds
448,Dwarka,IN,22.2394,68.9678,80.02,75,0,13.24,clear sky
449,West Wendover,US,40.7391,-114.0733,46.4,39,1,8.05,clear sky
450,Iralaya,HN,15.0,-83.2333,84.2,74,75,9.35,broken clouds
451,Kumba,CM,4.6363,9.4469,79.02,80,85,2.42,light rain
452,Yarmouth,US,41.7057,-70.2286,53.6,66,90,14.97,overcast clouds
453,Yoichi,JP,43.2039,140.7703,34.0,92,27,11.5,scattered clouds
454,Ajdabiya,LY,30.7554,20.2263,63.88,57,10,8.23,clear sky
455,Komsomolskiy,UZ,40.4272,71.7189,55.4,44,49,2.3,scattered clouds
456,Kandrian,PG,-6.2167,149.55,76.28,87,100,7.11,overcast clouds
457,Kalmunai,LK,7.4167,81.8167,78.17,78,33,3.51,scattered clouds
458,Hualmay,PE,-11.0964,-77.6139,75.27,73,34,9.89,scattered clouds
459,Bonfim,BR,3.0833,-59.95,77.7,80,100,8.1,overcast clouds
460,Mareeba,AU,-17.0,145.4333,78.8,83,99,1.14,overcast clouds
461,Praya,CV,14.9215,-23.5087,80.6,44,0,20.71,clear sky
462,Sal Rei,CV,16.1833,-22.9167,75.2,73,20,17.27,few clouds
463,Huarmey,PE,-10.0681,-78.1522,76.39,73,42,12.08,scattered clouds
464,Siparia,TT,10.1333,-61.5,87.01,77,82,8.99,broken clouds
465,San Fernando,PH,15.0286,120.6898,78.8,73,75,2.3,broken clouds
466,Divnomorskoye,RU,44.5011,38.1353,51.42,87,10,5.06,clear sky
467,Puerto Carreno,CO,6.189,-67.4859,89.17,49,99,4.36,overcast clouds
468,Nouadhibou,MR,20.931,-17.0347,71.6,64,85,16.11,overcast clouds
469,Kiunga,PG,-6.1219,141.2906,72.72,99,100,3.78,light rain
470,Amahai,ID,-3.3333,128.9167,78.67,84,100,3.22,overcast clouds
471,Lavumisa,SZ,-27.31,31.892,69.08,81,90,2.73,overcast clouds
472,Broome,US,42.2506,-75.833,66.99,20,40,5.5,scattered clouds
473,Sterling,US,39.0062,-77.4286,81.0,34,20,5.75,few clouds
474,Pandan,PH,14.0453,124.1694,76.28,80,53,10.83,broken clouds
475,Victor Harbor,AU,-35.5667,138.6167,64.99,36,8,5.23,clear sky
476,Xai-Xai,MZ,-25.0519,33.6442,72.68,83,14,6.91,few clouds
477,Chernyanka,RU,50.9409,37.8069,43.2,93,100,9.48,overcast clouds
478,Zhigansk,RU,66.7697,123.3711,4.59,80,100,20.09,overcast clouds
479,Paka,MY,4.6374,103.4368,78.8,94,36,1.14,scattered clouds
480,Lasa,IT,46.6166,10.7002,46.4,63,40,6.91,scattered clouds
481,Puerto Madryn,AR,-42.7692,-65.0385,72.59,33,81,6.6,broken clouds
482,Aguada De Pasajeros,CU,22.385,-80.8508,86.0,45,75,5.75,broken clouds
483,Mopti,ML,14.6667,-4.0,100.78,6,91,12.91,overcast clouds
484,Gobabis,NA,-22.45,18.9667,68.61,57,45,4.79,scattered clouds
485,Hambantota,LK,6.1241,81.1185,79.0,75,69,1.14,broken clouds
486,Saint Anthony,US,45.0205,-93.218,68.0,77,90,9.22,overcast clouds
487,Mogadishu,SO,2.0371,45.3438,83.14,71,5,14.34,clear sky
488,Pedernales,DO,18.0384,-71.744,81.64,68,90,4.85,overcast clouds
489,Miles City,US,46.4083,-105.8406,55.4,44,1,9.22,clear sky
490,Atotonilco El Alto,MX,20.55,-102.5167,83.57,20,0,4.52,clear sky
491,Korla,CN,41.7597,86.1469,58.86,29,100,3.74,overcast clouds
492,Birin,NP,26.8865,88.0718,62.04,44,48,6.26,scattered clouds
493,Tygda,RU,53.1167,126.3333,1.87,91,5,4.21,clear sky
494,Fereydun Kenar,IR,36.6864,52.5225,55.4,94,0,6.91,clear sky
495,Bandarbeyla,SO,9.4942,50.8122,79.11,60,6,8.97,clear sky
496,Kang,BW,-23.6752,22.7876,65.1,62,75,2.59,broken clouds
497,Leh,IN,34.1667,77.5833,27.61,54,29,3.53,scattered clouds
498,Pontes E Lacerda,BR,-15.2261,-59.3353,82.99,69,98,2.39,overcast clouds
499,Marawi,PH,7.9986,124.2928,78.01,87,97,1.01,overcast clouds
500,Andreapol,RU,56.6513,32.2664,31.62,87,100,4.99,overcast clouds
501,Changqing,CN,36.5575,116.7272,55.0,55,88,2.66,overcast clouds
502,Conde,BR,-7.2597,-34.9075,87.8,62,40,16.11,scattered clouds
503,Kupang,ID,-10.1667,123.5833,77.04,83,36,2.73,scattered clouds
504,Mastic Beach,US,40.7668,-72.8521,64.4,36,1,8.05,clear sky
505,Sulphur,US,30.2366,-93.3774,78.8,73,90,18.41,overcast clouds
506,Port Lincoln,AU,-34.7333,135.8667,68.16,40,65,8.28,broken clouds
507,Edson,CA,53.5835,-116.4356,39.2,70,20,3.44,few clouds
508,Biryusinsk,RU,55.9634,97.8235,33.6,99,100,4.88,moderate rain
509,Noumea,NC,-22.2763,166.4572,78.01,88,90,2.3,overcast clouds
510,Lake Cowichan,CA,48.825,-124.0546,46.99,61,75,2.3,broken clouds
511,Nkoteng,CM,4.5167,12.0333,84.18,43,97,1.7,overcast clouds
512,Puerto Narino,CO,-3.7703,-70.3831,86.0,66,40,2.3,scattered clouds
513,Ahipara,NZ,-35.1667,173.1667,57.81,91,47,3.31,scattered clouds
514,Lyuban,BY,52.7985,28.0048,35.33,65,59,9.62,light snow
